pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_spectype,st_teff,st_rad,st_mass,st_met,sy_dist,st_spectype_main,st_spectype_encoded,Habitability_Score,temp_deviance,rad_deviance,Stellar_Compatibility,Is_Habitable
2MASS J0249-0557 c,2MASS J0249-0557 A,2.0,1.0,Imaging,2018.0,10.3392924,2.3,191.96932,797.0,1950.0,M6 V,5613.0,0.951815,0.046,-0.0039,66.0613,M,5,0.24585965511353933,1.7673611111111112,1.2999999999999998,0.5,0
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1.0,1.0,Imaging,2024.0,10.3392924,2.3,191.96932,2369.0,572.0,G0 V,5613.0,0.951815,0.959,-0.0039,117.435,G,3,0.10497922286214188,7.225694444444445,1.2999999999999998,1.0,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1.0,1.0,Imaging,2010.0,10.3392924,2.3,191.96932,797.0,15.0,M8.5,5613.0,0.951815,0.019,-0.0039,586.137,M,5,0.24585965511353933,1.7673611111111112,1.2999999999999998,0.5,0
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1.0,1.0,Imaging,2024.0,10.3392924,2.3,191.96932,2677.0,266.0,G0 V,5613.0,0.951815,0.959,-0.0039,586.137,G,3,0.09438290620698694,8.29513888888889,1.2999999999999998,1.0,0
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1.0,1.0,Imaging,2024.0,10.3392924,2.3,191.96932,2506.0,587.0,G0 V,5613.0,0.951815,0.959,-0.0039,100.862,G,3,0.09998611303985556,7.701388888888889,1.2999999999999998,1.0,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1.0,1.0,Imaging,2004.0,10.3392924,2.3,191.96932,1250.0,55.0,M8,5613.0,0.951815,0.024,-0.0039,64.308,M,5,0.17729623245506035,3.3402777777777777,1.2999999999999998,0.5,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1.0,1.0,Imaging,2004.0,10.3392924,2.3,191.96932,1150.0,46.0,G0 V,4045.3500000000004,0.21887,0.188001,-0.0039,64.308,G,3,0.18892679086853845,2.9930555555555554,1.2999999999999998,1.0,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2.0,3.0,Eclipse Timing Variations,2015.0,51.997325585,2.3,191.96932,797.0,0.92,G0 V,5613.0,0.951815,0.48,-0.0039,396.332,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2.0,3.0,Eclipse Timing Variations,2015.0,51.997325585,2.3,191.96932,797.0,0.10086,G0 V,7033.99,0.203,0.48,-0.0039,396.332,G,3,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1.0,1.0,Imaging,2024.0,10.3392924,2.3,191.96932,1616.0,7493.0,G0 V,5613.0,0.951815,0.959,-0.0039,34.1154,G,3,0.1446945337620579,4.611111111111111,1.2999999999999998,1.0,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1.0,1.0,Imaging,2016.0,10.3392924,2.3,191.96932,797.0,230.0,K7 V,4045.3500000000004,0.951815,0.6,-0.0039,69.5737,K,4,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1.0,1.0,Imaging,2018.0,10.3392924,2.3,191.96932,1600.0,518.0,M3,5613.0,0.951815,0.959,-0.0039,57.2309,M,5,0.14586709886547813,4.555555555555555,1.2999999999999998,0.5,0
4 UMa b,4 UMa,1.0,1.0,Radial Velocity,2006.0,51.997325585,2.3,191.96932,797.0,0.877,K1 III,4415.0,18.11,1.234,-0.25,73.4603,K,4,0.24585965511353933,1.7673611111111112,1.2999999999999998,1.0,0
