pl_orbper,pl_rade,pl_eqt,st_teff,st_lum,pl_dens,pl_insol,st_met,st_spectype,st_spectral_score,pl_bmasse,sy_dist
735.1,2.3,797.0,4826.0,1.06258,1.307,86.27,0.21,Unknown,0.0,0,0
796.0,2.3,797.0,4794.52,-0.08124,1.307,86.27,0.0882,Unknown,0.0,0,0
763.0,2.3,797.0,4792.0,1.053,1.307,86.27,0.21,K,2.0,0,0
10.3311664,2.3,797.0,5613.0,1.121,1.307,86.27,-0.0014,Unknown,0.0,0,0
996.0,2.3,797.0,4826.0,1.06258,1.307,86.27,0.21,Unknown,0.0,0,0
10.3311664,2.3,797.0,5613.0,1.121,1.307,86.27,-0.0014,Unknown,0.0,0,0
116.6884,2.3,797.0,5545.0,-0.08124,1.307,86.27,-0.012,Unknown,0.0,0,0
116.6926,2.3,797.0,5439.0,0.4513,1.307,86.27,-0.09,Unknown,0.0,0,0
116.6884,2.3,797.0,5531.0,-0.08124,1.307,86.27,-0.06,Unknown,0.0,0,0
116.69335,2.3,797.0,5481.86,-0.08124,1.307,86.27,-0.0402,Unknown,0.0,0,0
116.689,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
116.688,2.3,797.0,5495.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
691.9,2.3,797.0,4846.0,1.73,1.307,86.27,0.0,G,3.0,0,0
696.62,2.3,797.0,4809.0,1.7145,1.307,86.27,0.1,G,3.0,0,0
2051.62,2.3,797.0,4809.0,1.7145,1.307,86.27,0.1,G,3.0,0,0
93.31,2.3,797.0,4847.0,1.72346,1.307,86.27,-0.03,Unknown,0.0,0,0
93.4,2.3,797.0,4847.4,-0.08124,1.307,86.27,-0.03,K,2.0,0,0
93.4,2.3,797.0,4847.0,-0.08124,1.307,86.27,-0.03,Unknown,0.0,0,0
1005.57,2.3,797.0,4734.0,1.76027,1.307,86.27,-0.11,G,3.0,0,0
952.7,2.3,797.0,4785.0,1.778,1.307,86.27,-0.06,G,3.0,0,0
10.3311664,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
181.4,2.3,797.0,4665.0,-0.08124,1.307,86.27,-0.03,K,2.0,0,0
10.3311664,2.3,797.0,9770.0,1.77085,1.307,86.27,-0.0014,Unknown,0.0,0,0
10.3311664,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,K,2.0,0,0
7520.0,2.3,1400.0,6100.0,-0.08124,1.307,86.27,-0.0014,F,4.0,0,0
8030.0,2.3,797.0,6130.0,-0.08124,1.307,86.27,0.19,F,4.0,0,0
9060.0,2.3,797.0,6140.0,-0.08124,1.307,86.27,-0.0014,F,4.0,0,0
8905.0,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,F,4.0,0,0
4168.69,2.3,797.0,3680.0,-0.08124,1.307,86.27,-0.0014,M,1.0,0,0
8.46321,4.203375,797.0,3700.0,-1.04576,4.4,86.27,-0.0014,Unknown,0.0,0,0
8.4631427,2.3,797.0,3665.0,-0.99,1.307,86.27,0.12,Unknown,0.0,0,0
8.4630004,4.19,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
8.46321,2.3,797.0,3700.0,-1.04576,1.3,86.27,-0.0014,M,1.0,0,0
8.46321,2.3,797.0,5613.0,-0.08124,1.307,86.27,-0.0014,Unknown,0.0,0,0
8.46308,3.95677019,600.0,3678.0,-1.0381,1.307,21.2,0.23,Unknown,0.0,0,0
8.463,4.07,593.0,3700.0,-0.08124,1.4,86.27,-0.0014,Unknown,0.0,0,0
8.463,2.3,797.0,3700.0,-1.04576,0.97,86.27,-0.0014,Unknown,0.0,0,0
8.453677658,4.02692583,754.62,3588.0,-0.08124,1.307,76.6379,-0.0014,Unknown,0.0,0,0
8.463446,2.3,797.0,3665.0,-0.99,1.307,86.27,0.12,Unknown,0.0,0,0
8.4629991,2.3,797.0,5613.0,-0.08124,1.32,86.27,-0.0014,Unknown,0.0,0,0
18.859019,3.24,454.0,3700.0,-0.08124,2.3,86.27,-0.0014,Unknown,0.0,0,0
