pl_orbper,pl_orbsmax,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_lum,pl_rade,pl_insol,temp_score,radius_score,insol_score,habitability_score,habitability_label
2.218577,0.03106,370.58978,1209.0,5050.0,0.765,0.812,-0.46547,12.542871,356.0,0.0,0.0,0.0,0.0,0
8.8803256,0.0804,10.0,880.0,5348.0,0.94,0.81,-0.18709,3.41,100.0,0.0,0.0,0.0,0.0,0
28.579743,0.1752,8.0,600.0,5348.0,0.94,0.81,-0.18709,3.195,21.0,0.0,0.0,0.0,0.0,0
38.353037,0.2132,2.8,540.0,5348.0,0.94,0.81,-0.18709,2.995,14.3,0.125,0.0,0.0,0.05,0
3.308958,0.05208,323.23311,2132.0,6272.0,2.591,1.72,0.97128,17.317905,3440.0,0.0,0.0,0.0,0.0,0
0.926118,0.018,7.42,2141.0,5596.0,1.13,0.9,0.04922,1.72,3474.0,0.0,0.28,0.0,0.084,0
16.202159,0.1163,14.4,632.2,5070.0,0.779,0.8,-0.4437,2.501,26.5,0.0,0.0,0.0,0.0,0
3.092926,0.03876,4.74,1015.0,4699.0,0.778,0.81,-0.57741,1.602,176.2,0.0,0.3979999999999999,0.0,0.11939999999999996,0
6.76458,0.0653,4.36,782.0,4699.0,0.778,0.81,-0.57741,1.511,62.1,0.0,0.4890000000000001,0.0,0.14670000000000002,0
46.859,0.237,16.17,410.5,4699.0,0.778,0.81,-0.57741,1.61,4.72,0.5746527777777778,0.3899999999999999,0.0,0.34686111111111106,0
22.717,0.1463,7.3,522.6,4699.0,0.778,0.81,-0.57741,1.31,12.38,0.18541666666666656,0.69,0.0,0.2811666666666666,0
17.667087,0.1162,8.32,543.0,4684.0,0.71,0.67,-0.62525,2.0,16.0,0.11458333333333337,0.0,0.0,0.04583333333333335,0
29.79749,0.1646,3.41,467.0,4684.0,0.71,0.67,-0.62525,1.87,7.96,0.3784722222222222,0.1299999999999999,0.0,0.19038888888888889,0
3.97664,0.04298,0.55,909.0,4684.0,0.71,0.67,-0.62525,0.75,117.0,0.0,0.75,0.0,0.22499999999999998,0
7.90754,0.068,0.72,723.0,4684.0,0.71,0.67,-0.62525,0.818,46.7,0.0,0.818,0.0,0.24539999999999998,0
12.1621839,0.0906,0.77,630.0,4684.0,0.71,0.67,-0.62525,1.137,26.3,0.0,0.863,0.0,0.25889999999999996,0
2.76953,0.02933,2.14,709.0,3803.0,0.439,0.439,-1.43997,1.24,42.2,0.0,0.76,0.0,0.22799999999999998,0
5.70588,0.04749,3.09,557.0,3803.0,0.439,0.439,-1.43997,1.533,16.1,0.06597222222222221,0.4670000000000001,0.0,0.1664888888888889,0
18.71204,0.1436,77.55052,876.0,6089.0,1.277,1.127,0.30535,9.718203,98.09,0.0,0.0,0.0,0.0,0
13.63083,0.107,9.6,777.0,5289.0,0.98,0.89,-0.1549,3.48,61.0,0.0,0.0,0.0,0.0,0
14.339156,0.1202,7.8,943.0,6203.0,1.194,1.126,0.28035,2.45,132.0,0.0,0.0,0.0,0.0,0
6.3980661,0.05995,15.9,742.7,4582.0,0.677,0.702,-0.74425,2.84,46.2,0.0,0.0,0.0,0.0,0
18.8805,0.1233,22.5,517.8,4582.0,0.677,0.702,-0.74425,2.73,11.76,0.2020833333333335,0.0,0.0,0.08083333333333341,0
1.0391353,0.02085,7.8,2042.0,5987.0,1.043,1.109,0.0983,1.35,2898.0,0.0,0.6499999999999999,0.0,0.19499999999999998,0
3.6451398,0.04813,19.2,1344.0,5987.0,1.043,1.109,0.0983,3.228,543.8,0.0,0.0,0.0,0.0,0
55.087,0.262,42.44,385.0,5212.0,0.87,0.83,-0.3098,3.89,7.42,0.6631944444444444,0.0,0.0,0.2652777777777778,0
9.1004157,0.0792,9.7,753.2,5048.0,0.758,0.8,-0.47314,2.469,51.2858,0.0,0.0,0.0,0.0,0
3.53796,0.0436,4.5,1217.0,5289.0,0.98,0.89,-0.1549,1.58,373.0,0.0,0.41999999999999993,0.0,0.12599999999999997,0
6.42975,0.0649,5.1,998.0,5289.0,0.98,0.89,-0.1549,1.37,167.0,0.0,0.6299999999999999,0.0,0.18899999999999997,0
0.9809734,0.01782,1021.18779,1411.0,4590.0,0.7242,0.781,-0.67799,22.75427,661.0,0.0,0.0,0.0,0.0,0
11.3909311,0.0943,638.83509807,701.0,4920.0,0.824,0.86,-0.44491,10.44677001,40.0,0.0,0.0,0.0,0.0,0
7.9752,0.0707,4.3,610.0,4500.0,0.677,0.742,-0.7765,1.014,33.5,0.0,0.986,0.0,0.2958,0
17.30713,0.1185,18.1,470.0,4500.0,0.677,0.742,-0.7765,3.0,11.91,0.3680555555555556,0.0,0.0,0.14722222222222223,0
25.575,0.1538,3.0,420.0,4500.0,0.677,0.742,-0.7765,1.565,7.07,0.5416666666666667,0.43500000000000005,0.0,0.34716666666666673,0
6.5693,0.0591,323.86877,1114.0,5654.0,0.987,1.005,-0.04915,12.273855,188.5,0.0,0.0,0.0,0.0,0
