pl_rade,pl_eqt,pl_orbper,stellar_compatibility
2.3,797.0,24.61480613,-5257.5
2.8,660.0,30.2541186,-6275.5
1.844,797.0,7.1864526,-5602.5
1.64,797.0,2.735926,-5300.5
2.21,797.0,30.99660733,-5320.5
2.3,797.0,54.31996151,-6182.5
2.3,797.0,10.366,-3673.5
1.16,846.0,9.10967112,-5686.5
1.37,757.0,2.755637216,-4119.5
2.87,797.0,38.871826,-5617.5
3.3,352.0,66.4159,-5184.5
2.8,489.0,37.5140693,-5612.5
2.3,797.0,14.5325302862,-5838.5
2.3,797.0,10.0607999734,-5651.05
0.8,931.0,3.41045424,-5194.5
2.3,797.0,52.09080482,-6296.64
2.3,797.0,4.651853,-5280.5
2.3,797.0,3.3518415268,-5747.5
2.142,797.0,10.3392924,-3998.5
2.13,530.0,56.4932269,-6410.5
2.646,797.0,10.3392924,-6013.5
1.79,1088.0,3.71545391,-5511.5
3.51,367.0,58.0192007,-4985.5
9.43435,1170.0,3.9152737,-5712.5
12.215808,797.0,11.535076,-5477.8
2.3,797.0,1935.0,-5344.1
2.8,797.0,5.955,-5611.5
1.48,590.0,44.9977478,-6110.5
2.3,797.0,83.4463485,-6003.81
2.12,797.0,4.921355,-5076.5
2.9,584.0,31.88293,-6055.5
2.3,797.0,27.50871575,-5956.5
1.87,797.0,25.1934467,-5096.5
13.67495645,1890.0,4.023687,-6108.5
2.3,797.0,5700.0,-5834.5
1.98,1610.0,2.024145594,-5724.5
2.3,50.0,3285.0,-5611.5
2.3,797.0,1.9214353,-5232.5
1.9,797.0,4.069428401,-4789.5
2.3,797.0,3.7885997177,-5570.53
2.444,797.0,10.3392924,-3715.5
1.92,723.0,15.03366571,-5520.5
2.3,797.0,10.94030197,-5465.5
1.67,797.0,10.3392924,-5060.5
4.71778,1617.0,5.826731,-6303.5
1.38,797.0,0.961917,-3670.5
1.05,957.0,3.976032,-5177.5
1.88,797.0,4.778004028,-5158.5
1.34,797.0,10.31173752,-4907.5
1.48,797.0,3.65691115,-6294.5
16.432394,797.0,2.7908327,-6564.5
2.3,797.0,3.177414601,-5316.5
14.68,997.0,2.440836404,-4796.5
1.565,420.0,25.575,-4498.5
2.3,797.0,670.0,-4949.5
2.3,797.0,63.3354719,-5611.5
3.679,928.0,16.23855,-5909.5
5.023,797.0,16.06862959,-5000.5
2.3,288.0,32.509,-3561.5
2.674,797.0,10.3392924,-5774.5
2.77,609.0,17.9636,-5223.5
2.3,797.0,8.18739443,-5248.5
3.43,797.0,49.499875,-5034.5
0.8,630.0,13.0600399,-5166.5
2.3,797.0,41.7460723966,-5970.05
2.3,261.0,654.5,-5964.5
2.3,797.0,501.0,-5611.5
2.42,585.0,41.74600392,-5980.5
2.3,797.0,4820.0,-5316.39
1.7,795.0,12.94123564,-6117.5
16.36514,1521.0,1.7429935,-5596.5
2.3,797.0,964.0,-5764.5
4.94,630.0,15.33525912,-5323.5
10.783058,797.0,2.94443,-5148.5
1.83470985,797.0,3.8482,-5998.5
3.08,564.0,28.2274184,-5862.5
2.3,797.0,158.684563283,-5680.1
1.117,797.0,5.67556,-5611.5
2.3,797.0,83.48923341,-5495.47
1.3,797.0,6.42200058,-5880.5
2.58,289.0,159.388051,-5416.5
2.3,797.0,10.3392924,-5611.5
1.5,797.0,5.73597,-4019.5
2.3,797.0,17.14633374,-5693.5
2.3,797.0,4.1244799,-5586.5
17.317905,2132.0,3.308958,-6270.5
14.90797,797.0,1.5373639,-5611.5
2.3,797.0,10.3392924,-5611.5
2.3,55.0,10.3392924,-5611.5
1.376,797.0,2.853133644,-5065.5
1.18,797.0,34.987,-3733.5
2.26,639.0,6.312504,-4531.5
3.559,797.0,22.20813214,-6561.5
14.68,997.0,2.440836404,-4796.5
1.699,1006.0,4.75642,-5129.5
2.3,797.0,10.3392924,-5611.5
1.81,897.0,1.60932168,-4054.5
2.3,797.0,2.50789979,-6005.5
1.52,943.0,7.025763,-5967.5
1.29,1270.0,3.77359871,-6222.5
1.65,994.0,5.1233204,-5362.5
2.48,792.0,6.400104,-5287.5
2.3,797.0,39.5968655022,-5519.5
2.3,797.0,2453.0,-5611.5
1.8,618.0,13.97925,-5317.5
1.11,797.0,3.036179,-3357.5
2.3,797.0,16.0851765718,-5126.83
2.08,403.0,9.467814048,-3579.5
1.91,1003.0,7.69364042,-6275.5
2.51,848.0,9.7678805,-5566.5
2.11,273.0,46.827714,-3885.5
2.01,316.0,232.058029,-5895.5
1.2,797.0,0.354884,-4112.5
1.61,1222.0,5.16950177,-6456.5
7.0011,704.0,8.3249172,-6511.5
5.85,797.0,15.335,-5611.5
2.74,722.0,24.4972683,-6390.5
2.8,797.0,17.815815,-5960.5
2.46,606.0,29.90722674,-5739.5
2.284,797.0,10.3392924,-5147.5
2.3,797.0,10.10575764,-5818.22
2.60168,646.0,13.7905315,-5020.1
2.01411,610.0,17.6174652,-5248.5
12.77826,797.0,10.3392924,-6073.5
15.984,1652.0,3.128992,-6328.5
2.3,797.0,13.14496978,-5378.62
2.3,797.0,4.6144086,-5611.5
2.3,797.0,9.6246647,-5298.5
2.3,797.0,13.2850722056,-6282.0
1.47,1405.0,0.928310498,-4892.5
2.57673985,797.0,20.4905,-5482.5
1.65,643.0,13.02678441,-5081.5
2.3,797.0,199.66876,-5659.2
2.3,797.0,105.653571735,-5642.18
2.3,797.0,8360.0,-5700.75
2.3,797.0,2.8326568999,-5854.78
1.95,510.0,18.16406,-4923.5
2.3,797.0,81.7380560513,-5497.5
1.98,346.0,18.8027,-3561.5
1.84,797.0,20.42228798,-6192.5
0.82,967.0,3.575547,-5120.5
3.59,797.0,140.10394,-6261.5
2.76,651.0,7.493134,-4225.5
2.3,797.0,17.40664752,-6091.95
3.81,466.0,54.1561078,-5796.5
1.27,797.0,11.829851,-5652.5
2.3,797.0,7.3744828,-4679.5
1.2,891.0,7.56126152,-5851.5
0.73,1412.0,2.024820339,-6027.5
11.57887706,251.0,328.24017,-5189.5
1.47,1768.0,0.577369579,-5254.5
2.3,797.0,4.2245513231,-5611.5
2.66,744.0,5.644914154,-4767.5
12.3434,1761.0,3.8404319,-5907.5
2.3,797.0,12.3101908231,-4991.5
1.571,797.0,1.209,-4253.5
1.8,842.0,11.634864,-6018.5
1.2,1322.0,0.63133171,-4439.5
0.98,402.0,68.958608,-5458.5
1.58,752.0,17.9776037,-6294.5
3.3,850.0,15.1622735,-6306.5
2.3,797.0,45.29422297,-5704.5
1.659,797.0,10.3392924,-5802.5
2.3,797.0,1.4303707,-5598.5
4.47,563.0,31.578659338,-5748.5
2.3,797.0,151.884542626,-6239.01
3.08,797.0,4.431222,-5845.5
2.3,797.0,49.2768448,-3917.5
5.5,797.0,35.735,-5611.5
1.21,879.0,7.122605,-5556.5
2.5,890.0,7.411138,-5801.5
2.3,797.0,13.233522,-5611.5
9.41494,639.0,2.9479689,-3586.5
1.32,778.0,10.43547805,-5514.5
2.18,1226.0,6.40087618,-5351.5
1.43,797.0,19.738286,-5903.5
0.8,822.0,5.8966109,-5330.5
2.16,1062.0,7.97419807,-6047.5
1.82,1127.0,9.37664325,-6223.5
2.3,797.0,4.1669696071,-5519.5
1.15,811.0,15.67756112,-6002.5
2.3,797.0,5.9917682999,-6105.14
2.3,797.0,3.166353562,-5637.5
2.3,797.0,87.5173179822,-5956.5
2.31,646.0,14.09229,-5350.5
1.82,1259.0,9.18252,-6740.5
2.109,797.0,46.9025112,-5176.5
2.87,797.0,51.300634,-5661.5
2.3,797.0,6.673892,-5542.5
3.46,376.0,118.378379,-5655.5
3.68209,1021.0,14.2456603,-4758.5
1.91,797.0,39.79223792,-5611.5
3.098,797.0,8.14511872,-6020.5
3.00633,824.0,17.9051919,-6221.5
2.3,797.0,5480.0,-5910.5
2.3,797.0,8.0276822757,-5366.5
2.3,797.0,10.77,-3069.5
1.85,1926.0,1.5184181,-6300.5
1.72,1064.0,3.5827463,-5446.5
2.3,797.0,5.45298742,-5325.5
3.44,704.0,42.3514267,-6854.5
13.4508,797.0,3.4252602,-5498.5
2.3,797.0,56.6746666,-5632.5
0.636,797.0,12.4416871,-5611.5
0.86973029,797.0,5.652450085,-5157.5
0.75,797.0,21.302,-5415.5
1.09,1226.0,3.28280266,-5973.5
2.3,350.0,133.71,-5538.5
2.3,797.0,10.3392924,-5611.5
2.21,509.0,17.67168,-4856.5
4.69,793.0,10.035385814,-5833.5
5.38526663,1377.32,4.73355750515,-5494.5
3.18,784.0,6.104849417,-5083.5
1.3,797.0,2.543072855,-5792.5
2.3,797.0,4.41193852,-5611.5
2.3,797.0,0.98097217,-4588.5
1.22,1097.0,3.179262921,-5528.5
2.3,797.0,10.3392924,-5611.5
1.02,1209.0,3.05710069,-6018.5
14.12,797.0,2.788491,-5958.5
2.3,1062.0,6.2574,-5768.5
1.69,1222.0,5.79179934,-6172.5
0.6,1187.0,3.03267135,-5638.5
14.0,428.0,60.322921,-5459.5
2.127,797.0,10.3392924,-3745.5
2.3,797.0,415.2,-5611.5
2.3,797.0,14723.57452,-5611.5
2.49,1092.0,14.8444836,-6640.5
1.595,797.0,10.3392924,-5939.5
2.3,797.0,16.56062577,-5606.5
2.742,797.0,10.3392924,-5850.5
3.57,876.0,10.00652995,-6061.5
2.3,797.0,1300.0,-4869.5
1.88,648.0,19.02339,-5834.5
0.927,797.0,25.2099845,-5943.5
2.3,797.0,4.44589508,-5742.5
7.7398145,797.0,19.2259,-5611.5
1.51862272,797.0,48.88819885,-4819.5
2.3,797.0,4.908886,-5611.5
2.29,797.0,16.08786478,-5560.5
2.3,797.0,14.653,-5611.5
2.06714559,700.52,11.14527843821,-5301.08
1.93,797.0,18.684737,-4255.5
4.39,1163.0,9.42889884,-5895.5
2.33,823.0,19.1187425,-5860.5
11.09691,992.0,3.72247967,-4898.5
2.09,1108.0,10.86062378,-6453.5
0.77,1585.0,3.937713,-6715.5
1.688,797.0,12.07,-3852.4
1.982,797.0,7.4341325,-5073.5
2.3,797.0,10.3392924,-5611.5
2.798,797.0,10.3392924,-5624.5
2.88,797.0,10.64022272,-6112.5
2.5,797.0,6.877,-3876.5
2.05,797.0,30.86437869,-5677.5
2.66,469.0,42.9495649,-5465.5
12.24,1000.0,7.891448474,-5851.5
1.18,797.0,11.4485946,-6249.5
3.12,491.0,56.777229,-6061.5
1.92,725.0,12.51366754,-5693.5
2.3,797.0,57.2932309,-4685.5
2.87,470.0,20.7095,-4314.5
2.13,530.0,56.4932269,-6410.5
11.1189,919.0,10.590923,-6015.6
2.3,797.0,15.8732840548,-5427.9
2.3,797.0,8.0413478,-5611.5
2.3,797.0,9.6310258,-6855.48
1.58,1213.0,4.45815716,-6098.5
2.26,797.0,46.9025112,-5257.5
2.3,797.0,1070.35,-5358.5
2.91,367.0,86.4947807,-5250.5
3.14,1152.0,13.24503188,-5748.5
2.3,843.0,12.5199,-5768.5
2.3,797.0,9.87892482,-6173.5
3.195,797.0,1.827082299,-5483.5
1.79,487.0,64.6588017,-6195.5
2.3,797.0,8.00504749,-5975.5
2.3,797.0,22.79009217,-5475.5
1.43,950.0,9.478522,-6222.5
2.31,627.0,16.1288853,-5293.5
2.3,797.0,10.42368297,-6182.5
1.9,797.0,106.247547,-5710.5
0.99,1123.0,6.11009134,-5969.5
13.89945234,949.68,4.38885164746,-5173.5
1.64,881.0,6.46008273,-5691.5
1.48,1701.0,0.663085258,-5164.5
2.763,797.0,10.3392924,-5999.5
2.3,797.0,2.361724472,-4442.5
2.3,337.0,149.61,-5725.5
2.61033183,707.96,1.52756389781,-3431.5
0.98,273.0,35.23318,-3686.5
2.43,735.0,19.74732846,-6171.5
2.29,797.0,3.12686223,-4753.5
1.64,1297.0,3.848208,-6323.5
2.17,1326.0,2.820192408,-6089.5
2.3,797.0,62.1385979,-5266.5
5.899,797.0,38.58422849,-6336.5
2.3,797.0,2.164570593,-3932.5
2.3,797.0,7.12766417,-5236.5
2.3,797.0,5.5080232,-4801.5
2.3,797.0,6.58148439,-4970.5
2.47,767.0,13.24934059,-5934.5
2.3,797.0,14.20442616,-5285.5
2.23,827.0,5.729319,-5292.5
2.3,797.0,15.9556054047,-4965.5
3.024,797.0,10.3392924,-5761.5
1.91,797.0,2.970414375,-5416.5
2.3,797.0,31.56,-5383.5
